Term,Document,Frequency
ngôn,Gioi_thieu_ngon_ngu_lap_trinh.txt,8
ngôn,Hieu_ro_hon_ve_Cpp.txt,1
ngôn,Lap_trinh_ham_hoc_voi_Haskell.txt,2
ngôn,Loi_ich_cua_JavaScript.txt,4
ngôn,Ngon_ngu_Go.txt,1
ngôn,Ngon_ngu_kieu_tinh_va_dong.txt,6
ngôn,Python_trong_khoa_hoc_du_lieu.txt,2
ngôn,Su_phat_trien_cua_Java.txt,2
ngữ,Gioi_thieu_ngon_ngu_lap_trinh.txt,8
ngữ,Hieu_ro_hon_ve_Cpp.txt,1
ngữ,Lap_trinh_ham_hoc_voi_Haskell.txt,2
ngữ,Loi_ich_cua_JavaScript.txt,4
ngữ,Ngon_ngu_Go.txt,1
ngữ,Ngon_ngu_kieu_tinh_va_dong.txt,6
ngữ,Python_trong_khoa_hoc_du_lieu.txt,2
ngữ,Su_phat_trien_cua_Java.txt,2
lập,Gioi_thieu_ngon_ngu_lap_trinh.txt,7
lập,Hieu_ro_hon_ve_Cpp.txt,6
lập,Lap_trinh_ham_hoc_voi_Haskell.txt,2
lập,Loi_ich_cua_JavaScript.txt,3
lập,Ngon_ngu_Go.txt,1
lập,Ngon_ngu_kieu_tinh_va_dong.txt,1
lập,Python_trong_khoa_hoc_du_lieu.txt,1
lập,Su_phat_trien_cua_Java.txt,3
trình,Gioi_thieu_ngon_ngu_lap_trinh.txt,7
trình,Hieu_ro_hon_ve_Cpp.txt,6
trình,Lap_trinh_ham_hoc_voi_Haskell.txt,2
trình,Loi_ich_cua_JavaScript.txt,5
trình,Ngon_ngu_Go.txt,2
trình,Ngon_ngu_kieu_tinh_va_dong.txt,2
trình,Python_trong_khoa_hoc_du_lieu.txt,1
trình,Su_phat_trien_cua_Java.txt,3
công,Gioi_thieu_ngon_ngu_lap_trinh.txt,3
công,Hieu_ro_hon_ve_Cpp.txt,1
công,Ngon_ngu_Go.txt,1
công,Python_trong_khoa_hoc_du_lieu.txt,2
cụ,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
cụ,Ngon_ngu_Go.txt,1
cụ,Python_trong_khoa_hoc_du_lieu.txt,2
cơ,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
cơ,Lap_trinh_ham_hoc_voi_Haskell.txt,1
bản,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
bản,Su_phat_trien_cua_Java.txt,1
giúp,Gioi_thieu_ngon_ngu_lap_trinh.txt,3
giúp,Hieu_ro_hon_ve_Cpp.txt,1
giúp,Lap_trinh_ham_hoc_voi_Haskell.txt,2
giúp,Loi_ich_cua_JavaScript.txt,4
giúp,Ngon_ngu_Go.txt,3
giúp,Ngon_ngu_kieu_tinh_va_dong.txt,3
giúp,Python_trong_khoa_hoc_du_lieu.txt,1
giúp,Su_phat_trien_cua_Java.txt,2
viên,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
viên,Hieu_ro_hon_ve_Cpp.txt,1
viên,Ngon_ngu_kieu_tinh_va_dong.txt,1
viên,Python_trong_khoa_hoc_du_lieu.txt,1
viên,Su_phat_trien_cua_Java.txt,1
giao,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
tiếp,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
dẫn,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
máy,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
máy,Python_trong_khoa_hoc_du_lieu.txt,2
tính,Gioi_thieu_ngon_ngu_lap_trinh.txt,4
tính,Lap_trinh_ham_hoc_voi_Haskell.txt,4
tính,Ngon_ngu_kieu_tinh_va_dong.txt,2
tính,Su_phat_trien_cua_Java.txt,2
thực,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
thực,Ngon_ngu_kieu_tinh_va_dong.txt,1
thi,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
tác,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
tác,Loi_ich_cua_JavaScript.txt,3
tác,Python_trong_khoa_hoc_du_lieu.txt,1
vụ,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
vụ,Lap_trinh_ham_hoc_voi_Haskell.txt,1
vụ,Ngon_ngu_Go.txt,1
vụ,Python_trong_khoa_hoc_du_lieu.txt,1
cấp,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
cấp,Hieu_ro_hon_ve_Cpp.txt,2
cấp,Python_trong_khoa_hoc_du_lieu.txt,1
thấp,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
thấp,Hieu_ro_hon_ve_Cpp.txt,1
cao,Gioi_thieu_ngon_ngu_lap_trinh.txt,2
cao,Hieu_ro_hon_ve_Cpp.txt,3
cao,Lap_trinh_ham_hoc_voi_Haskell.txt,1
cao,Loi_ich_cua_JavaScript.txt,1
cao,Su_phat_trien_cua_Java.txt,1
mỗi,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
loại,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
mang,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
năng,Gioi_thieu_ngon_ngu_lap_trinh.txt,3
năng,Hieu_ro_hon_ve_Cpp.txt,1
năng,Loi_ich_cua_JavaScript.txt,1
năng,Ngon_ngu_Go.txt,1
năng,Su_phat_trien_cua_Java.txt,3
phương,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
phương,Su_phat_trien_cua_Java.txt,1
pháp,Gioi_thieu_ngon_ngu_lap_trinh.txt,1
pháp,Ngon_ngu_Go.txt,1
pháp,Python_trong_khoa_hoc_du_lieu.txt,2
phát,Gioi_thieu_ngon_ngu_lap_trinh.txt,4
phát,Hieu_ro_hon_ve_Cpp.txt,2
phát,Lap_trinh_ham_hoc_voi_Haskell.txt,4
phát,Loi_ich_cua_JavaScript.txt,4
phát,Ngon_ngu_Go.txt,3
phát,Ngon_ngu_kieu_tinh_va_dong.txt,5
phát,Python_trong_khoa_hoc_du_lieu.txt,2
phát,Su_phat_trien_cua_Java.txt,4
triển,Gioi_thieu_ngon_ngu_lap_trinh.txt,4
triển,Hieu_ro_hon_ve_Cpp.txt,2
triển,Lap_trinh_ham_hoc_voi_Haskell.txt,3
triển,Loi_ich_cua_JavaScript.txt,4
triển,Ngon_ngu_Go.txt,3
triển,Ngon_ngu_kieu_tinh_va_dong.txt,2
triển,Python_trong_khoa_hoc_du_lieu.txt,3
triển,Su_phat_trien_cua_Java.txt,4
